Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Wed Jan 10 2018,10:30 pm,Los Angeles Clippers,,Golden State Warriors,,,,
Wed Jan 10 2018,8:00 pm,Portland Trail Blazers,,Houston Rockets,,,,
Wed Jan 10 2018,7:00 pm,Miami Heat,,Indiana Pacers,,,,
Wed Jan 10 2018,8:00 pm,New Orleans Pelicans,,Memphis Grizzlies,,,,
Wed Jan 10 2018,8:00 pm,Orlando Magic,,Milwaukee Bucks,,,,
Wed Jan 10 2018,8:00 pm,Oklahoma City Thunder,,Minnesota Timberwolves,,,,
Wed Jan 10 2018,7:30 pm,Chicago Bulls,,New York Knicks,,,,
Wed Jan 10 2018,7:00 pm,Utah Jazz,,Washington Wizards,,,,
Thu Jan 11 2018,10:30 pm,San Antonio Spurs,,Los Angeles Lakers,,,,
Thu Jan 11 2018,3:00 pm,Boston Celtics,,Philadelphia 76ers,,,,
Thu Jan 11 2018,10:00 pm,Los Angeles Clippers,,Sacramento Kings,,,,
Thu Jan 11 2018,8:00 pm,Cleveland Cavaliers,,Toronto Raptors,,,,
Fri Jan 12 2018,7:30 pm,Brooklyn Nets,,Atlanta Hawks,,,,
Fri Jan 12 2018,7:00 pm,Utah Jazz,,Charlotte Hornets,,,,
Fri Jan 12 2018,9:00 pm,Memphis Grizzlies,,Denver Nuggets,,,,
Fri Jan 12 2018,7:00 pm,Cleveland Cavaliers,,Indiana Pacers,,,,
Fri Jan 12 2018,8:00 pm,Golden State Warriors,,Milwaukee Bucks,,,,
Fri Jan 12 2018,8:00 pm,New York Knicks,,Minnesota Timberwolves,,,,
Fri Jan 12 2018,8:00 pm,Portland Trail Blazers,,New Orleans Pelicans,,,,
Fri Jan 12 2018,10:30 pm,Houston Rockets,,Phoenix Suns,,,,
Fri Jan 12 2018,7:00 pm,Orlando Magic,,Washington Wizards,,,,
Sat Jan 13 2018,8:00 pm,Detroit Pistons,,Chicago Bulls,,,,
Sat Jan 13 2018,5:00 pm,Oklahoma City Thunder,,Charlotte Hornets,,,,
Sat Jan 13 2018,2:00 pm,Los Angeles Lakers,,Dallas Mavericks,,,,
Sat Jan 13 2018,3:30 pm,Sacramento Kings,,Los Angeles Clippers,,,,
Sat Jan 13 2018,8:30 pm,Denver Nuggets,,San Antonio Spurs,,,,
Sat Jan 13 2018,7:30 pm,Golden State Warriors,,Toronto Raptors,,,,
Sat Jan 13 2018,7:00 pm,Brooklyn Nets,,Washington Wizards,,,,
Sun Jan 14 2018,1:00 pm,Milwaukee Bucks,,Miami Heat,,,,
Sun Jan 14 2018,9:00 pm,Portland Trail Blazers,,Minnesota Timberwolves,,,,
Sun Jan 14 2018,3:30 pm,New Orleans Pelicans,,New York Knicks,,,,
Sun Jan 14 2018,8:00 pm,Indiana Pacers,,Phoenix Suns,,,,
Mon Jan 15 2018,3:00 pm,San Antonio Spurs,,Atlanta Hawks,,,,
Mon Jan 15 2018,3:00 pm,New York Knicks,,Brooklyn Nets,,,,
Mon Jan 15 2018,3:30 pm,Miami Heat,,Chicago Bulls,,,,
Mon Jan 15 2018,8:00 pm,Golden State Warriors,,Cleveland Cavaliers,,,,
Mon Jan 15 2018,12:30 pm,Charlotte Hornets,,Detroit Pistons,,,,
Mon Jan 15 2018,10:30 pm,Houston Rockets,,Los Angeles Clippers,,,,
Mon Jan 15 2018,5:30 pm,Los Angeles Lakers,,Memphis Grizzlies,,,,
Mon Jan 15 2018,8:00 pm,Sacramento Kings,,Oklahoma City Thunder,,,,
Mon Jan 15 2018,1:00 pm,Toronto Raptors,,Philadelphia 76ers,,,,
Mon Jan 15 2018,9:00 pm,Indiana Pacers,,Utah Jazz,,,,
Mon Jan 15 2018,2:00 pm,Milwaukee Bucks,,Washington Wizards,,,,
Tue Jan 16 2018,7:30 pm,New Orleans Pelicans,,Boston Celtics,,,,
Tue Jan 16 2018,9:00 pm,Dallas Mavericks,,Denver Nuggets,,,,
Tue Jan 16 2018,7:00 pm,Minnesota Timberwolves,,Orlando Magic,,,,
Tue Jan 16 2018,10:00 pm,Phoenix Suns,,Portland Trail Blazers,,,,
Wed Jan 17 2018,7:30 pm,New Orleans Pelicans,,Atlanta Hawks,,,,
Wed Jan 17 2018,7:30 pm,San Antonio Spurs,,Brooklyn Nets,,,,
Wed Jan 17 2018,8:00 pm,Golden State Warriors,,Chicago Bulls,,,,
Wed Jan 17 2018,7:00 pm,Washington Wizards,,Charlotte Hornets,,,,
Wed Jan 17 2018,10:30 pm,Denver Nuggets,,Los Angeles Clippers,,,,
Wed Jan 17 2018,8:00 pm,New York Knicks,,Memphis Grizzlies,,,,
Wed Jan 17 2018,8:00 pm,Miami Heat,,Milwaukee Bucks,,,,
Wed Jan 17 2018,8:00 pm,Los Angeles Lakers,,Oklahoma City Thunder,,,,
Wed Jan 17 2018,10:00 pm,Utah Jazz,,Sacramento Kings,,,,
Wed Jan 17 2018,7:30 pm,Detroit Pistons,,Toronto Raptors,,,,
Thu Jan 18 2018,7:00 pm,Philadelphia 76ers,,Boston Celtics,,,,
Thu Jan 18 2018,7:00 pm,Orlando Magic,,Cleveland Cavaliers,,,,
Thu Jan 18 2018,9:30 pm,Minnesota Timberwolves,,Houston Rockets,,,,
Thu Jan 18 2018,10:00 pm,Indiana Pacers,,Portland Trail Blazers,,,,
Fri Jan 19 2018,7:30 pm,Miami Heat,,Brooklyn Nets,,,,
Fri Jan 19 2018,9:00 pm,Phoenix Suns,,Denver Nuggets,,,,
Fri Jan 19 2018,8:00 pm,Washington Wizards,,Detroit Pistons,,,,
Fri Jan 19 2018,10:30 pm,Indiana Pacers,,Los Angeles Lakers,,,,
Fri Jan 19 2018,8:00 pm,Sacramento Kings,,Memphis Grizzlies,,,,
Fri Jan 19 2018,7:00 pm,San Antonio Spurs,,Toronto Raptors,,,,
Fri Jan 19 2018,10:30 pm,New York Knicks,,Utah Jazz,,,,
Sat Jan 20 2018,5:00 pm,Chicago Bulls,,Atlanta Hawks,,,,
Sat Jan 20 2018,7:00 pm,Miami Heat,,Charlotte Hornets,,,,
Sat Jan 20 2018,3:30 pm,Oklahoma City Thunder,,Cleveland Cavaliers,,,,
Sat Jan 20 2018,8:30 pm,Golden State Warriors,,Houston Rockets,,,,
Sat Jan 20 2018,9:00 pm,Toronto Raptors,,Minnesota Timberwolves,,,,
Sat Jan 20 2018,7:00 pm,Memphis Grizzlies,,New Orleans Pelicans,,,,
Sat Jan 20 2018,7:30 pm,Milwaukee Bucks,,Philadelphia 76ers,,,,
Sat Jan 20 2018,10:00 pm,Dallas Mavericks,,Portland Trail Blazers,,,,
Sat Jan 20 2018,9:00 pm,Los Angeles Clippers,,Utah Jazz,,,,
Sun Jan 21 2018,1:00 pm,Orlando Magic,,Boston Celtics,,,,
Sun Jan 21 2018,4:00 pm,Brooklyn Nets,,Detroit Pistons,,,,
Sun Jan 21 2018,3:30 pm,New York Knicks,,Los Angeles Lakers,,,,
Sun Jan 21 2018,7:00 pm,Indiana Pacers,,San Antonio Spurs,,,,
Mon Jan 22 2018,7:30 pm,Utah Jazz,,Atlanta Hawks,,,,
Mon Jan 22 2018,7:00 pm,Sacramento Kings,,Charlotte Hornets,,,,
Mon Jan 22 2018,8:30 pm,Washington Wizards,,Dallas Mavericks,,,,
Mon Jan 22 2018,9:00 pm,Portland Trail Blazers,,Denver Nuggets,,,,
Mon Jan 22 2018,8:00 pm,Miami Heat,,Houston Rockets,,,,
Mon Jan 22 2018,10:30 pm,Minnesota Timberwolves,,Los Angeles Clippers,,,,
Mon Jan 22 2018,8:00 pm,Philadelphia 76ers,,Memphis Grizzlies,,,,
Mon Jan 22 2018,8:00 pm,Phoenix Suns,,Milwaukee Bucks,,,,
Mon Jan 22 2018,8:00 pm,Chicago Bulls,,New Orleans Pelicans,,,,
Tue Jan 23 2018,10:30 pm,New York Knicks,,Golden State Warriors,,,,
Tue Jan 23 2018,10:30 pm,Boston Celtics,,Los Angeles Lakers,,,,
Tue Jan 23 2018,8:00 pm,Brooklyn Nets,,Oklahoma City Thunder,,,,
Tue Jan 23 2018,7:00 pm,Sacramento Kings,,Orlando Magic,,,,
Tue Jan 23 2018,8:00 pm,Cleveland Cavaliers,,San Antonio Spurs,,,,
Wed Jan 24 2018,7:30 pm,Toronto Raptors,,Atlanta Hawks,,,,
Wed Jan 24 2018,7:00 pm,New Orleans Pelicans,,Charlotte Hornets,,,,
Wed Jan 24 2018,8:00 pm,Houston Rockets,,Dallas Mavericks,,,,
Wed Jan 24 2018,7:00 pm,Utah Jazz,,Detroit Pistons,,,,
Wed Jan 24 2018,7:00 pm,Phoenix Suns,,Indiana Pacers,,,,
Wed Jan 24 2018,10:30 pm,Boston Celtics,,Los Angeles Clippers,,,,
Wed Jan 24 2018,8:00 pm,San Antonio Spurs,,Memphis Grizzlies,,,,
Wed Jan 24 2018,7:00 pm,Chicago Bulls,,Philadelphia 76ers,,,,
Wed Jan 24 2018,10:00 pm,Minnesota Timberwolves,,Portland Trail Blazers,,,,
Thu Jan 25 2018,9:00 pm,New York Knicks,,Denver Nuggets,,,,
Thu Jan 25 2018,10:30 pm,Minnesota Timberwolves,,Golden State Warriors,,,,
Thu Jan 25 2018,7:30 pm,Sacramento Kings,,Miami Heat,,,,
Thu Jan 25 2018,8:00 pm,Washington Wizards,,Oklahoma City Thunder,,,,
Fri Jan 26 2018,8:00 pm,Los Angeles Lakers,,Chicago Bulls,,,,
Fri Jan 26 2018,7:00 pm,Atlanta Hawks,,Charlotte Hornets,,,,
Fri Jan 26 2018,7:30 pm,Indiana Pacers,,Cleveland Cavaliers,,,,
Fri Jan 26 2018,8:30 pm,Portland Trail Blazers,,Dallas Mavericks,,,,
Fri Jan 26 2018,8:00 pm,Los Angeles Clippers,,Memphis Grizzlies,,,,
Fri Jan 26 2018,8:00 pm,Brooklyn Nets,,Milwaukee Bucks,,,,
Fri Jan 26 2018,8:00 pm,Houston Rockets,,New Orleans Pelicans,,,,
Fri Jan 26 2018,9:00 pm,New York Knicks,,Phoenix Suns,,,,
Fri Jan 26 2018,8:30 pm,Philadelphia 76ers,,San Antonio Spurs,,,,
Fri Jan 26 2018,7:30 pm,Utah Jazz,,Toronto Raptors,,,,
Sat Jan 27 2018,7:30 pm,Washington Wizards,,Atlanta Hawks,,,,
Sat Jan 27 2018,9:00 pm,Dallas Mavericks,,Denver Nuggets,,,,
Sat Jan 27 2018,5:00 pm,Oklahoma City Thunder,,Detroit Pistons,,,,
Sat Jan 27 2018,8:30 pm,Boston Celtics,,Golden State Warriors,,,,
Sat Jan 27 2018,7:00 pm,Orlando Magic,,Indiana Pacers,,,,
Sat Jan 27 2018,7:30 pm,Charlotte Hornets,,Miami Heat,,,,
Sat Jan 27 2018,9:00 pm,Brooklyn Nets,,Minnesota Timberwolves,,,,
Sun Jan 28 2018,3:30 pm,Milwaukee Bucks,,Chicago Bulls,,,,
Sun Jan 28 2018,6:00 pm,Detroit Pistons,,Cleveland Cavaliers,,,,
Sun Jan 28 2018,3:30 pm,Phoenix Suns,,Houston Rockets,,,,
Sun Jan 28 2018,4:00 pm,Los Angeles Clippers,,New Orleans Pelicans,,,,
Sun Jan 28 2018,6:00 pm,Philadelphia 76ers,,Oklahoma City Thunder,,,,
Sun Jan 28 2018,7:00 pm,Sacramento Kings,,San Antonio Spurs,,,,
Sun Jan 28 2018,6:00 pm,Los Angeles Lakers,,Toronto Raptors,,,,
Mon Jan 29 2018,7:30 pm,Minnesota Timberwolves,,Atlanta Hawks,,,,
Mon Jan 29 2018,8:30 pm,Miami Heat,,Dallas Mavericks,,,,
Mon Jan 29 2018,9:00 pm,Boston Celtics,,Denver Nuggets,,,,
Mon Jan 29 2018,7:00 pm,Charlotte Hornets,,Indiana Pacers,,,,
Mon Jan 29 2018,8:00 pm,Phoenix Suns,,Memphis Grizzlies,,,,
Mon Jan 29 2018,8:00 pm,Philadelphia 76ers,,Milwaukee Bucks,,,,
Tue Jan 30 2018,8:00 pm,Cleveland Cavaliers,,Detroit Pistons,,,,
Tue Jan 30 2018,8:00 pm,Orlando Magic,,Houston Rockets,,,,
Tue Jan 30 2018,10:30 pm,Portland Trail Blazers,,Los Angeles Clippers,,,,
Tue Jan 30 2018,8:00 pm,Sacramento Kings,,New Orleans Pelicans,,,,
Tue Jan 30 2018,7:30 pm,Brooklyn Nets,,New York Knicks,,,,
Tue Jan 30 2018,8:30 pm,Denver Nuggets,,San Antonio Spurs,,,,
Tue Jan 30 2018,7:30 pm,Minnesota Timberwolves,,Toronto Raptors,,,,
Tue Jan 30 2018,9:00 pm,Golden State Warriors,,Utah Jazz,,,,
Tue Jan 30 2018,7:00 pm,Oklahoma City Thunder,,Washington Wizards,,,,
Wed Jan 31 2018,7:30 pm,Charlotte Hornets,,Atlanta Hawks,,,,
Wed Jan 31 2018,8:00 pm,New York Knicks,,Boston Celtics,,,,
Wed Jan 31 2018,7:30 pm,Philadelphia 76ers,,Brooklyn Nets,,,,
Wed Jan 31 2018,7:30 pm,Miami Heat,,Cleveland Cavaliers,,,,
Wed Jan 31 2018,7:00 pm,Memphis Grizzlies,,Indiana Pacers,,,,
Wed Jan 31 2018,7:00 pm,Los Angeles Lakers,,Orlando Magic,,,,
Wed Jan 31 2018,10:30 pm,Dallas Mavericks,,Phoenix Suns,,,,
Wed Jan 31 2018,10:00 pm,Chicago Bulls,,Portland Trail Blazers,,,,
Thu Feb 1 2018,10:30 pm,Oklahoma City Thunder,,Denver Nuggets,,,,
Thu Feb 1 2018,7:00 pm,Memphis Grizzlies,,Detroit Pistons,,,,
Thu Feb 1 2018,8:00 pm,Milwaukee Bucks,,Minnesota Timberwolves,,,,
Thu Feb 1 2018,8:00 pm,Houston Rockets,,San Antonio Spurs,,,,
Thu Feb 1 2018,7:00 pm,Toronto Raptors,,Washington Wizards,,,,
Fri Feb 2 2018,7:30 pm,Atlanta Hawks,,Boston Celtics,,,,
Fri Feb 2 2018,7:30 pm,Los Angeles Lakers,,Brooklyn Nets,,,,
Fri Feb 2 2018,7:00 pm,Indiana Pacers,,Charlotte Hornets,,,,
Fri Feb 2 2018,8:00 pm,New York Knicks,,Milwaukee Bucks,,,,
Fri Feb 2 2018,9:00 pm,New Orleans Pelicans,,Oklahoma City Thunder,,,,
Fri Feb 2 2018,8:00 pm,Miami Heat,,Philadelphia 76ers,,,,
Fri Feb 2 2018,9:00 pm,Utah Jazz,,Phoenix Suns,,,,
Fri Feb 2 2018,10:30 pm,Golden State Warriors,,Sacramento Kings,,,,
Fri Feb 2 2018,7:30 pm,Portland Trail Blazers,,Toronto Raptors,,,,
Sat Feb 3 2018,8:30 pm,Houston Rockets,,Cleveland Cavaliers,,,,
Sat Feb 3 2018,9:00 pm,Golden State Warriors,,Denver Nuggets,,,,
Sat Feb 3 2018,7:00 pm,Miami Heat,,Detroit Pistons,,,,
Sat Feb 3 2018,7:00 pm,Philadelphia 76ers,,Indiana Pacers,,,,
Sat Feb 3 2018,3:30 pm,Chicago Bulls,,Los Angeles Clippers,,,,
Sat Feb 3 2018,9:00 pm,New Orleans Pelicans,,Minnesota Timberwolves,,,,
Sat Feb 3 2018,7:00 pm,Washington Wizards,,Orlando Magic,,,,
Sat Feb 3 2018,10:00 pm,Dallas Mavericks,,Sacramento Kings,,,,
Sat Feb 3 2018,9:00 pm,Utah Jazz,,San Antonio Spurs,,,,
Sun Feb 4 2018,12:00 pm,Portland Trail Blazers,,Boston Celtics,,,,
Sun Feb 4 2018,12:00 pm,Milwaukee Bucks,,Brooklyn Nets,,,,
Sun Feb 4 2018,12:00 pm,Atlanta Hawks,,New York Knicks,,,,
Sun Feb 4 2018,2:00 pm,Los Angeles Lakers,,Oklahoma City Thunder,,,,
Sun Feb 4 2018,3:00 pm,Charlotte Hornets,,Phoenix Suns,,,,
Sun Feb 4 2018,12:00 pm,Memphis Grizzlies,,Toronto Raptors,,,,
Mon Feb 5 2018,9:00 pm,Charlotte Hornets,,Denver Nuggets,,,,
Mon Feb 5 2018,7:00 pm,Portland Trail Blazers,,Detroit Pistons,,,,
Mon Feb 5 2018,7:00 pm,Washington Wizards,,Indiana Pacers,,,,
Mon Feb 5 2018,10:30 pm,Dallas Mavericks,,Los Angeles Clippers,,,,
Mon Feb 5 2018,7:30 pm,Orlando Magic,,Miami Heat,,,,
Mon Feb 5 2018,8:00 pm,Utah Jazz,,New Orleans Pelicans,,,,
Mon Feb 5 2018,10:00 pm,Chicago Bulls,,Sacramento Kings,,,,
Tue Feb 6 2018,7:30 pm,Memphis Grizzlies,,Atlanta Hawks,,,,
Tue Feb 6 2018,7:30 pm,Houston Rockets,,Brooklyn Nets,,,,
Tue Feb 6 2018,10:30 pm,Oklahoma City Thunder,,Golden State Warriors,,,,
Tue Feb 6 2018,10:30 pm,Phoenix Suns,,Los Angeles Lakers,,,,
Tue Feb 6 2018,7:30 pm,Milwaukee Bucks,,New York Knicks,,,,
Tue Feb 6 2018,7:00 pm,Cleveland Cavaliers,,Orlando Magic,,,,
Tue Feb 6 2018,8:00 pm,Washington Wizards,,Philadelphia 76ers,,,,
Tue Feb 6 2018,7:30 pm,Boston Celtics,,Toronto Raptors,,,,
Wed Feb 7 2018,8:00 pm,Minnesota Timberwolves,,Cleveland Cavaliers,,,,
Wed Feb 7 2018,7:00 pm,Brooklyn Nets,,Detroit Pistons,,,,
Wed Feb 7 2018,8:00 pm,Utah Jazz,,Memphis Grizzlies,,,,
Wed Feb 7 2018,7:30 pm,Houston Rockets,,Miami Heat,,,,
Wed Feb 7 2018,8:00 pm,Indiana Pacers,,New Orleans Pelicans,,,,
Wed Feb 7 2018,10:30 pm,San Antonio Spurs,,Phoenix Suns,,,,
Thu Feb 8 2018,10:30 pm,Dallas Mavericks,,Golden State Warriors,,,,
Thu Feb 8 2018,10:30 pm,Oklahoma City Thunder,,Los Angeles Lakers,,,,
Thu Feb 8 2018,7:00 pm,Atlanta Hawks,,Orlando Magic,,,,
Thu Feb 8 2018,10:00 pm,Charlotte Hornets,,Portland Trail Blazers,,,,
Thu Feb 8 2018,7:30 pm,New York Knicks,,Toronto Raptors,,,,
Thu Feb 8 2018,8:00 pm,Boston Celtics,,Washington Wizards,,,,
Fri Feb 9 2018,7:30 pm,Cleveland Cavaliers,,Atlanta Hawks,,,,
Fri Feb 9 2018,7:30 pm,Indiana Pacers,,Boston Celtics,,,,
Fri Feb 9 2018,8:00 pm,Minnesota Timberwolves,,Chicago Bulls,,,,
Fri Feb 9 2018,7:00 pm,Los Angeles Clippers,,Detroit Pistons,,,,
Fri Feb 9 2018,8:00 pm,Denver Nuggets,,Houston Rockets,,,,
Fri Feb 9 2018,8:00 pm,Milwaukee Bucks,,Miami Heat,,,,
Fri Feb 9 2018,7:00 pm,New Orleans Pelicans,,Philadelphia 76ers,,,,
Fri Feb 9 2018,10:30 pm,Portland Trail Blazers,,Sacramento Kings,,,,
Fri Feb 9 2018,9:00 pm,Charlotte Hornets,,Utah Jazz,,,,
Sat Feb 10 2018,6:00 pm,New Orleans Pelicans,,Brooklyn Nets,,,,
Sat Feb 10 2018,8:00 pm,Washington Wizards,,Chicago Bulls,,,,
Sat Feb 10 2018,8:30 pm,Los Angeles Lakers,,Dallas Mavericks,,,,
Sat Feb 10 2018,8:30 pm,San Antonio Spurs,,Golden State Warriors,,,,
Sat Feb 10 2018,7:00 pm,Milwaukee Bucks,,Orlando Magic,,,,
Sat Feb 10 2018,7:00 pm,Los Angeles Clippers,,Philadelphia 76ers,,,,
Sat Feb 10 2018,9:00 pm,Denver Nuggets,,Phoenix Suns,,,,
Sun Feb 11 2018,3:30 pm,Detroit Pistons,,Atlanta Hawks,,,,
Sun Feb 11 2018,3:30 pm,Cleveland Cavaliers,,Boston Celtics,,,,
Sun Feb 11 2018,1:00 pm,Toronto Raptors,,Charlotte Hornets,,,,
Sun Feb 11 2018,7:00 pm,Dallas Mavericks,,Houston Rockets,,,,
Sun Feb 11 2018,5:00 pm,New York Knicks,,Indiana Pacers,,,,
Sun Feb 11 2018,7:00 pm,Sacramento Kings,,Minnesota Timberwolves,,,,
Sun Feb 11 2018,7:00 pm,Memphis Grizzlies,,Oklahoma City Thunder,,,,
Sun Feb 11 2018,9:00 pm,Utah Jazz,,Portland Trail Blazers,,,,
Mon Feb 12 2018,7:30 pm,Los Angeles Clippers,,Brooklyn Nets,,,,
Mon Feb 12 2018,8:00 pm,Orlando Magic,,Chicago Bulls,,,,
Mon Feb 12 2018,7:00 pm,New Orleans Pelicans,,Detroit Pistons,,,,
Mon Feb 12 2018,10:30 pm,Phoenix Suns,,Golden State Warriors,,,,
Mon Feb 12 2018,7:00 pm,New York Knicks,,Philadelphia 76ers,,,,
Mon Feb 12 2018,9:00 pm,San Antonio Spurs,,Utah Jazz,,,,
Tue Feb 13 2018,8:30 pm,Sacramento Kings,,Dallas Mavericks,,,,
Tue Feb 13 2018,10:30 pm,San Antonio Spurs,,Denver Nuggets,,,,
Tue Feb 13 2018,8:00 pm,Atlanta Hawks,,Milwaukee Bucks,,,,
Tue Feb 13 2018,8:00 pm,Houston Rockets,,Minnesota Timberwolves,,,,
Tue Feb 13 2018,8:00 pm,Cleveland Cavaliers,,Oklahoma City Thunder,,,,
Tue Feb 13 2018,7:00 pm,Miami Heat,,Toronto Raptors,,,,
Wed Feb 14 2018,8:00 pm,Los Angeles Clippers,,Boston Celtics,,,,
Wed Feb 14 2018,7:30 pm,Indiana Pacers,,Brooklyn Nets,,,,
Wed Feb 14 2018,8:00 pm,Toronto Raptors,,Chicago Bulls,,,,
Wed Feb 14 2018,7:00 pm,Atlanta Hawks,,Detroit Pistons,,,,
Wed Feb 14 2018,8:00 pm,Sacramento Kings,,Houston Rockets,,,,
Wed Feb 14 2018,8:00 pm,Oklahoma City Thunder,,Memphis Grizzlies,,,,
Wed Feb 14 2018,8:00 pm,Los Angeles Lakers,,New Orleans Pelicans,,,,
Wed Feb 14 2018,7:30 pm,Washington Wizards,,New York Knicks,,,,
Wed Feb 14 2018,7:00 pm,Charlotte Hornets,,Orlando Magic,,,,
Wed Feb 14 2018,7:00 pm,Miami Heat,,Philadelphia 76ers,,,,
Wed Feb 14 2018,10:30 pm,Golden State Warriors,,Portland Trail Blazers,,,,
Wed Feb 14 2018,9:00 pm,Phoenix Suns,,Utah Jazz,,,,
Thu Feb 15 2018,8:00 pm,Denver Nuggets,,Milwaukee Bucks,,,,
Thu Feb 15 2018,9:00 pm,Los Angeles Lakers,,Minnesota Timberwolves,,,,
Thu Feb 22 2018,8:00 pm,Philadelphia 76ers,,Chicago Bulls,,,,
Thu Feb 22 2018,7:00 pm,Brooklyn Nets,,Charlotte Hornets,,,,
Thu Feb 22 2018,8:00 pm,Washington Wizards,,Cleveland Cavaliers,,,,
Thu Feb 22 2018,10:30 pm,Los Angeles Clippers,,Golden State Warriors,,,,
Thu Feb 22 2018,7:00 pm,New York Knicks,,Orlando Magic,,,,
Thu Feb 22 2018,10:00 pm,Oklahoma City Thunder,,Sacramento Kings,,,,
Fri Feb 23 2018,9:00 pm,San Antonio Spurs,,Denver Nuggets,,,,
Fri Feb 23 2018,7:00 pm,Boston Celtics,,Detroit Pistons,,,,
Fri Feb 23 2018,8:00 pm,Minnesota Timberwolves,,Houston Rockets,,,,
Fri Feb 23 2018,7:00 pm,Atlanta Hawks,,Indiana Pacers,,,,
Fri Feb 23 2018,10:30 pm,Dallas Mavericks,,Los Angeles Lakers,,,,
Fri Feb 23 2018,8:00 pm,Cleveland Cavaliers,,Memphis Grizzlies,,,,
Fri Feb 23 2018,8:00 pm,Miami Heat,,New Orleans Pelicans,,,,
Fri Feb 23 2018,9:00 pm,Los Angeles Clippers,,Phoenix Suns,,,,
Fri Feb 23 2018,7:30 pm,Milwaukee Bucks,,Toronto Raptors,,,,
Fri Feb 23 2018,9:00 pm,Portland Trail Blazers,,Utah Jazz,,,,
Fri Feb 23 2018,7:00 pm,Charlotte Hornets,,Washington Wizards,,,,
Sat Feb 24 2018,8:30 pm,Oklahoma City Thunder,,Golden State Warriors,,,,
Sat Feb 24 2018,7:30 pm,Memphis Grizzlies,,Miami Heat,,,,
Sat Feb 24 2018,9:00 pm,Chicago Bulls,,Minnesota Timberwolves,,,,
Sat Feb 24 2018,7:30 pm,Boston Celtics,,New York Knicks,,,,
Sat Feb 24 2018,5:00 pm,Orlando Magic,,Philadelphia 76ers,,,,
Sat Feb 24 2018,9:00 pm,Portland Trail Blazers,,Phoenix Suns,,,,
Sat Feb 24 2018,10:00 pm,Los Angeles Lakers,,Sacramento Kings,,,,
Sat Feb 24 2018,9:00 pm,Dallas Mavericks,,Utah Jazz,,,,
Sun Feb 25 2018,1:00 pm,Detroit Pistons,,Charlotte Hornets,,,,
Sun Feb 25 2018,3:30 pm,San Antonio Spurs,,Cleveland Cavaliers,,,,
Sun Feb 25 2018,8:00 pm,Houston Rockets,,Denver Nuggets,,,,
Sun Feb 25 2018,3:00 pm,New Orleans Pelicans,,Milwaukee Bucks,,,,
Sun Feb 25 2018,8:00 pm,Philadelphia 76ers,,Washington Wizards,,,,
Mon Feb 26 2018,7:30 pm,Los Angeles Lakers,,Atlanta Hawks,,,,
Mon Feb 26 2018,7:30 pm,Memphis Grizzlies,,Boston Celtics,,,,
Mon Feb 26 2018,7:30 pm,Chicago Bulls,,Brooklyn Nets,,,,
Mon Feb 26 2018,8:30 pm,Indiana Pacers,,Dallas Mavericks,,,,
Mon Feb 26 2018,8:00 pm,Phoenix Suns,,New Orleans Pelicans,,,,
Mon Feb 26 2018,7:30 pm,Golden State Warriors,,New York Knicks,,,,
Mon Feb 26 2018,8:00 pm,Orlando Magic,,Oklahoma City Thunder,,,,
Mon Feb 26 2018,10:00 pm,Minnesota Timberwolves,,Sacramento Kings,,,,
Mon Feb 26 2018,7:30 pm,Detroit Pistons,,Toronto Raptors,,,,
Mon Feb 26 2018,9:00 pm,Houston Rockets,,Utah Jazz,,,,
Tue Feb 27 2018,7:00 pm,Chicago Bulls,,Charlotte Hornets,,,,
Tue Feb 27 2018,7:00 pm,Brooklyn Nets,,Cleveland Cavaliers,,,,
Tue Feb 27 2018,10:30 pm,Los Angeles Clippers,,Denver Nuggets,,,,
Tue Feb 27 2018,7:30 pm,Philadelphia 76ers,,Miami Heat,,,,
Tue Feb 27 2018,8:00 pm,Washington Wizards,,Milwaukee Bucks,,,,
Tue Feb 27 2018,10:00 pm,Sacramento Kings,,Portland Trail Blazers,,,,
Wed Feb 28 2018,7:30 pm,Indiana Pacers,,Atlanta Hawks,,,,
Wed Feb 28 2018,7:30 pm,Charlotte Hornets,,Boston Celtics,,,,
Wed Feb 28 2018,8:30 pm,Oklahoma City Thunder,,Dallas Mavericks,,,,
Wed Feb 28 2018,7:00 pm,Milwaukee Bucks,,Detroit Pistons,,,,
Wed Feb 28 2018,10:30 pm,Houston Rockets,,Los Angeles Clippers,,,,
Wed Feb 28 2018,8:00 pm,Phoenix Suns,,Memphis Grizzlies,,,,
Wed Feb 28 2018,7:00 pm,Toronto Raptors,,Orlando Magic,,,,
Wed Feb 28 2018,8:30 pm,New Orleans Pelicans,,San Antonio Spurs,,,,
Wed Feb 28 2018,8:00 pm,Golden State Warriors,,Washington Wizards,,,,
Thu Mar 1 2018,8:00 pm,Philadelphia 76ers,,Cleveland Cavaliers,,,,
Thu Mar 1 2018,7:30 pm,Los Angeles Lakers,,Miami Heat,,,,
Thu Mar 1 2018,10:30 pm,Minnesota Timberwolves,,Portland Trail Blazers,,,,
Thu Mar 1 2018,10:00 pm,Brooklyn Nets,,Sacramento Kings,,,,
Fri Mar 2 2018,7:30 pm,Golden State Warriors,,Atlanta Hawks,,,,
Fri Mar 2 2018,8:00 pm,Dallas Mavericks,,Chicago Bulls,,,,
